event_type,event_cause,requires_road_closure,zone,latitude,longitude,hour,day,month,weekday,weekofyear,Risk_Probability,Risk_Score,Risk_Category,Congestion_Score,Estimated_Delay_Minutes,Police_Personnel,Barricades,Diversion_Routes
7704,4894,0,4728,13.0537555,77.5931842,6.0,2.0,4.0,1.0,14,0.9780674343229023,97.81,High,88.02900000000001,57,12,15,4
7704,4894,0,4728,13.0197731,77.7087354,2.0,22.0,1.0,0.0,4,0.000682466375937748,0.07,Low,0.06300000000000001,5,2,2,0
7704,4894,0,4728,13.0443681,77.5087934,23.0,20.0,3.0,2.0,12,0.9777326429214873,97.77,High,87.993,57,12,15,4
7704,4894,0,4728,12.9879187,77.5741471,7.0,1.0,3.0,4.0,9,0.020090014948342748,2.01,Low,1.809,6,2,2,0
7704,365,0,4728,12.9434044,77.5778786,21.0,27.0,2.0,1.0,9,0.004931182704936973,0.49,Low,0.441,5,2,2,0
467,480,0,318,13.0394871,77.6416244,20.0,29.0,12.0,4.0,52,0.9747585892758515,97.48,High,87.732,57,12,15,4
7704,4894,0,354,12.9439105,77.6031489,20.0,25.0,12.0,0.0,52,0.4887124843715952,48.87,Low,43.983,31,4,4,1
7704,4894,0,4728,12.9259772,77.54924,8.0,1.0,4.0,0.0,14,0.9477753936932667,94.78,High,85.302,56,12,15,4
7704,638,0,4728,12.9896755,77.5056916,19.0,24.0,1.0,2.0,4,0.98101870580156,98.1,High,88.28999999999999,57,12,15,4
7704,4894,0,4728,12.9964326,77.5846186,22.0,2.0,2.0,4.0,5,0.9815704819292568,98.16,High,88.344,58,12,15,4
7704,4894,0,4728,12.92194178,77.62088254,6.0,28.0,3.0,3.0,13,0.955706709327854,95.57,High,86.01299999999999,56,12,15,4
7704,4894,0,269,12.9918486,77.6591136,5.0,29.0,12.0,4.0,52,0.7782109613525234,77.82,Medium,70.038,47,8,10,2
7704,4894,0,318,13.0099436,77.6238998,8.0,31.0,12.0,6.0,52,0.5911892515587527,59.12,Medium,53.208,36,4,4,1
7704,458,0,4728,12.9054074,77.6036665,8.0,5.0,4.0,4.0,14,0.902722642336185,90.27,High,81.243,53,8,10,2
7704,4894,0,269,12.9979702,77.6627056,22.0,29.0,11.0,2.0,48,0.8667317060855977,86.67,High,78.003,51,8,10,2
7704,4894,0,4728,13.0687009,77.4481459,23.0,27.0,11.0,0.0,48,0.00035802715135521023,0.04,Low,0.036000000000000004,5,2,2,0
7704,638,0,253,12.9526488,77.699876,19.0,27.0,11.0,0.0,48,0.958713679542938,95.87,High,86.283,56,12,15,4
7704,4894,0,4728,13.0180242,77.5586509,1.0,3.0,4.0,2.0,14,0.9488998356779275,94.89,High,85.401,56,12,15,4
7704,4894,0,4728,12.8746583,77.542115,19.0,6.0,4.0,5.0,14,0.006429260057996325,0.64,Low,0.5760000000000001,5,2,2,0
7704,537,0,4728,12.9381324,77.5566067,21.0,13.0,3.0,2.0,11,0.3738383464958276,37.38,Low,33.642,25,2,2,0
7704,480,0,318,13.0403988,77.62432276,20.0,21.0,11.0,1.0,47,0.9883449968138218,98.83,High,88.947,58,12,15,4
7704,4894,0,413,13.04158,77.5469183,13.0,11.0,11.0,5.0,45,0.9923945062445235,99.24,High,89.316,58,12,15,4
7704,136,0,4728,13.0382283,77.626245,19.0,27.0,2.0,1.0,9,0.9857278399704227,98.57,High,88.713,58,12,15,4
7704,4894,0,358,13.0146125,77.5747089,18.0,14.0,12.0,3.0,50,0.06713936589106095,6.71,Low,6.039,8,2,2,0
7704,4894,1,4728,13.0459326,77.7502339,4.0,7.0,3.0,3.0,10,3.31614992469747e-05,0.0,Low,10.0,11,2,2,0
7704,4894,0,4728,12.9615318,77.5604072,8.0,5.0,2.0,0.0,6,0.9491911414149127,94.92,High,85.428,56,12,15,4
7704,4894,0,4728,12.8999989,77.6009931,8.0,15.0,3.0,4.0,11,0.9857960730806041,98.58,High,88.722,58,12,15,4
7704,365,0,358,12.9756583,77.5353891,12.0,6.0,1.0,5.0,1,0.8342731967458163,83.43,High,75.087,50,8,10,2
7704,4894,0,623,12.972265,77.5940561,21.0,4.0,12.0,0.0,49,0.7601558316985447,76.02,Medium,68.41799999999999,46,8,10,2
7704,4894,0,4728,13.0986176,77.5904178,4.0,27.0,3.0,2.0,13,0.1526025030944919,15.26,Low,13.734,13,2,2,0
7704,638,0,4728,13.0016955,77.6792426,4.0,7.0,2.0,2.0,6,0.9112944070233405,91.13,High,82.017,54,8,10,2
7704,4894,0,4728,12.9167151,77.5980396,6.0,7.0,3.0,3.0,10,0.3559501598144969,35.6,Low,32.04,24,2,2,0
7704,4894,0,623,12.9637222,77.5846793,23.0,28.0,12.0,3.0,52,0.9909809386655547,99.1,High,89.19,58,12,15,4
7704,4894,0,413,13.0404332,77.5180931,2.0,13.0,11.0,0.0,46,0.9857902713458122,98.58,High,88.722,58,12,15,4
7704,537,1,4728,13.0100335,77.6147198,23.0,17.0,2.0,5.0,7,0.025686773582525895,2.57,Low,12.312999999999999,12,2,2,0
7704,638,0,4728,12.9811734,77.5732257,23.0,21.0,3.0,3.0,12,0.004131023073013588,0.41,Low,0.369,5,2,2,0
7704,537,0,4728,12.9419498,77.7471295,22.0,28.0,3.0,3.0,13,0.0032828740538385476,0.33,Low,0.29700000000000004,5,2,2,0
7704,4894,1,253,12.9286984,77.6821511,20.0,15.0,11.0,2.0,46,0.9729170038935815,97.29,High,97.561,63,12,15,4
7704,4894,0,432,12.9666372,77.5048395,8.0,29.0,11.0,2.0,48,0.01105252251006724,1.11,Low,0.9990000000000001,5,2,2,0
7704,4894,0,358,13.0089306,77.5912608,1.0,30.0,12.0,5.0,52,0.26925564717220846,26.93,Low,24.237000000000002,19,2,2,0
7704,4894,0,4728,12.8387727,77.6779223,6.0,30.0,3.0,5.0,13,0.002867121070885042,0.29,Low,0.261,5,2,2,0
7704,480,0,4728,13.065334,77.4537511,3.0,20.0,1.0,5.0,3,0.00023377996589166573,0.02,Low,0.018000000000000002,5,2,2,0
7704,4894,0,4728,12.9901883,77.6552517,18.0,25.0,3.0,0.0,13,0.9125483176563185,91.25,High,82.125,54,8,10,2
7704,4894,0,4728,13.0026038,77.5839949,10.0,11.0,2.0,6.0,6,0.9825353425403199,98.25,High,88.425,58,12,15,4
